loly_f017|Hola soy loli una lorita de la especie farinosa originaria de los bosques tropicales del ecuador nací en el 2019 como un proyecto de investigación entre profesores y estudiantes de la facu y del siris me funcione ser una guía para complementar con juegos la enseñanza de niños y poder monitorear sus avances a través de una plataforma online evaluación por medio de la interacción que realice con ellos podría medir sus niveles de atención así busco motivar el desarrollo cognitivo y social de niños con necesidades educativas especiales enfocada en niños conté a ampliando mi uso en niños regulares y de otros síndromes te invito a que juguemos juntos gracias a la alcaldía de quevedo por apoyar nuestro proyecto loli midi.|Hola soy loli una lorita de la especie farinosa originaria de los bosques tropicales del ecuador nací en el 2019 como un proyecto de investigación entre profesores y estudiantes de la facu y del siris me funcione ser una guía para complementar con juegos la enseñanza de niños y poder monitorear sus avances a través de una plataforma online evaluación por medio de la interacción que realice con ellos podría medir sus niveles de atención así busco motivar el desarrollo cognitivo y social de niños con necesidades educativas especiales enfocada en niños conté a ampliando mi uso en niños regulares y de otros síndromes te invito a que juguemos juntos gracias a la alcaldía de quevedo por apoyar nuestro proyecto loli midi.
loly_f018|Qué vibrante lados tierra canta un pasado como prendas.|Qué vibrante lados tierra canta un pasado como prendas.
loly_f019|Amiguito me llamo loli. Y yo voy a ser tu compañera en esta gran aventura mira la pantalla y presione el botón que se mueve enfrente tuyo para conocer lo que aprenderemos hoy con el guardabosques. Hoy iremos al bosque. Y yo seré tu guía. Elige con qué historia quieres comenzar presionando uno de estos botones. Si quieres jugar. Presiona el botón con la estrella. Si quieres que te lo repita presiona el botón con mi foto. Miren aquí hay un animal. Animal es una iguana. La iguana es un ser vivo. Los animales necesitan de alimento para vivir. Además necesitan aire. Arrastren animal hacia el cuadrado. Bravo lo hiciste muy bien este es un animal. Arrastren animal hacia el cuadrado. Excelente. Lo has hecho muy bien. Todos ellos son animales. Arrastra la planta hacia el cuadrado. Felicitaciones. Lo hiciste muy bien.|Amiguito me llamo loli. Y yo voy a ser tu compañera en esta gran aventura mira la pantalla y presione el botón que se mueve enfrente tuyo para conocer lo que aprenderemos hoy con el guardabosques. Hoy iremos al bosque. Y yo seré tu guía. Elige con qué historia quieres comenzar presionando uno de estos botones. Si quieres jugar. Presiona el botón con la estrella. Si quieres que te lo repita presiona el botón con mi foto. Miren aquí hay un animal. Animal es una iguana. La iguana es un ser vivo. Los animales necesitan de alimento para vivir. Además necesitan aire. Arrastren animal hacia el cuadrado. Bravo lo hiciste muy bien este es un animal. Arrastren animal hacia el cuadrado. Excelente. Lo has hecho muy bien. Todos ellos son animales. Arrastra la planta hacia el cuadrado. Felicitaciones. Lo hiciste muy bien.
loly_f020|Bien te felicito. Completado el rompecabezas de las rocas.|Bien te felicito. Completado el rompecabezas de las rocas.
loly_f021|Deshacerlo.|Deshacerlo.
loly_f022|Mimo. Inténtalo una vez más.|Mimo. Inténtalo una vez más.
loly_f023|Completa el rompecabezas de las rocas.|Completa el rompecabezas de las rocas.
loly_f024|Excelente. Lo has hecho muy bien.|Excelente. Lo has hecho muy bien.
loly_f025|Está roca no se mueve. Las rocas son seres no vivos o inertes.|Está roca no se mueve. Las rocas son seres no vivos o inertes.
loly_f026|Excelente lo has hecho muy bien. Todos ellos son seres no vivos.|Excelente lo has hecho muy bien. Todos ellos son seres no vivos.
loly_f027|Inténtalo una vez más.|Inténtalo una vez más.
loly_f028|Felicidades. Hiciste un buen trabajo. Todos ellos son seres vivos.|Felicidades. Hiciste un buen trabajo. Todos ellos son seres vivos.
loly_f029|Deshacerlo.|Deshacerlo.
loly_f030|Sí. Bravo. Lo hiciste muy bien.|Sí. Bravo. Lo hiciste muy bien.
loly_f031|Hacerlo. Ánimo. Inténtalo una vez más.|Hacerlo. Ánimo. Inténtalo una vez más.
loly_f032|Elige otra opción. Puedes.|Elige otra opción. Puedes.
loly_f033|Ordena según corresponda el ciclo de la vida.|Ordena según corresponda el ciclo de la vida.
loly_f034|Miren qué es lo que se mueve. Son unos patos. Y ellos también son seres vivos. Sabías que los seres vivos nacen. Crecen. Se reproducen. Y mueren. Esto se llama el ciclo de la vida.|Miren qué es lo que se mueve. Son unos patos. Y ellos también son seres vivos. Sabías que los seres vivos nacen. Crecen. Se reproducen. Y mueren. Esto se llama el ciclo de la vida.
loly_f035|Felicitaciones. Lo hiciste muy bien. Nos vemos en una próxima visita.|Felicitaciones. Lo hiciste muy bien. Nos vemos en una próxima visita.
loly_f036|Elige con qué historia quieres comenzar presionando uno de estos botones.|Elige con qué historia quieres comenzar presionando uno de estos botones.
loly_f037|Estupendo me ha gustado lo que acabas de hacer ese es otro animal.|Estupendo me ha gustado lo que acabas de hacer ese es otro animal.
loly_f038|Hola soy loli una lorita de la especie farinosa originaria de los bosques tropicales del ecuador nací en el 2019 como un proyecto de investigación entre profesores y estudiantes de la facu y del siris me funcione ser una guía para complementar con juegos la enseñanza de niños y poder monitorear sus avances a través de una plataforma online evaluación por medio de la interacción que realice con ellos podría medir sus niveles de atención así busco motivar el desarrollo cognitivo y social de niños con necesidades educativas especiales enfocada en niños conté a ampliando mi uso en niños regulares y de otros síndromes te invito a que juguemos juntos gracias a la alcaldía de quevedo por apoyar nuestro proyecto loli midi.|Hola soy loli una lorita de la especie farinosa originaria de los bosques tropicales del ecuador nací en el 2019 como un proyecto de investigación entre profesores y estudiantes de la facu y del siris me funcione ser una guía para complementar con juegos la enseñanza de niños y poder monitorear sus avances a través de una plataforma online evaluación por medio de la interacción que realice con ellos podría medir sus niveles de atención así busco motivar el desarrollo cognitivo y social de niños con necesidades educativas especiales enfocada en niños conté a ampliando mi uso en niños regulares y de otros síndromes te invito a que juguemos juntos gracias a la alcaldía de quevedo por apoyar nuestro proyecto loli midi.
loly_f039|Hoy iremos al bosque. Y yo seré tu guía. Sabes lo que hay en el bosque. Hay seres vivos como las plantas y los animales. También hay seres no vivos como las rocas y las montañas. Muy bien ahora vamos a encontrarlos.|Hoy iremos al bosque. Y yo seré tu guía. Sabes lo que hay en el bosque. Hay seres vivos como las plantas y los animales. También hay seres no vivos como las rocas y las montañas. Muy bien ahora vamos a encontrarlos.
loly_f040|Excelente. Has completado el rompecabezas de las montañas.|Excelente. Has completado el rompecabezas de las montañas.
loly_f041|Valoro tu esfuerzo. Inténtalo otra vez.|Valoro tu esfuerzo. Inténtalo otra vez.
loly_f042|Inténtalo una vez más.|Inténtalo una vez más.
loly_f043|Completa el rompecabezas de las montañas.|Completa el rompecabezas de las montañas.
loly_f044|Miren esa montañas tampoco se mueven. Exacto. Porque son seres no vivos o inertes.|Miren esa montañas tampoco se mueven. Exacto. Porque son seres no vivos o inertes.
loly_f045|Lo hiciste muy bien. Esta es una planta.|Lo hiciste muy bien. Esta es una planta.
loly_f046|Felicitaciones. Lo hiciste muy bien.|Felicitaciones. Lo hiciste muy bien.
loly_f047|Estupendo lo has hecho muy bien. Todas ellas son plantas.|Estupendo lo has hecho muy bien. Todas ellas son plantas.
loly_f048|Excelente. Lo has hecho muy bien. Todos ellos son animales.|Excelente. Lo has hecho muy bien. Todos ellos son animales.
loly_f049|Inténtalo otra vez.|Inténtalo otra vez.
loly_f050|Elige otra opción puedes.|Elige otra opción puedes.
loly_f051|Deshacerlo.|Deshacerlo.
loly_f052|Arrastra la planta hacia el cuadrado.|Arrastra la planta hacia el cuadrado.
loly_f053|Miren aquí hay muchas plantas. Todas las plantas son seres vivos. Las plantas necesitan el calor del sol. Además respiran aire. Y también necesitan agua para vivir. Sabes lo que pasa cuando no les da la luz del sol el agua o el aire. Mueren. Por eso cuidemos con esmero las plantas. Manos ala obra.|Miren aquí hay muchas plantas. Todas las plantas son seres vivos. Las plantas necesitan el calor del sol. Además respiran aire. Y también necesitan agua para vivir. Sabes lo que pasa cuando no les da la luz del sol el agua o el aire. Mueren. Por eso cuidemos con esmero las plantas. Manos ala obra.
loly_f054|Bien te felicito. Completado el rompecabezas de las rocas.|Bien te felicito. Completado el rompecabezas de las rocas.
loly_f055|Deshacerlo.|Deshacerlo.
loly_f056|Mimo. Inténtalo una vez más.|Mimo. Inténtalo una vez más.
loly_f057|Completa el rompecabezas de las rocas.|Completa el rompecabezas de las rocas.
loly_f058|Está roca no se mueve. Las rocas son seres no vivos o inertes.|Está roca no se mueve. Las rocas son seres no vivos o inertes.
loly_f059|Deshacerlo.|Deshacerlo.
loly_f060|Excelente lo has hecho muy bien. Todos ellos son seres no vivos.|Excelente lo has hecho muy bien. Todos ellos son seres no vivos.
loly_f061|Inténtalo una vez más.|Inténtalo una vez más.
loly_f062|Felicidades. Hiciste un buen trabajo. Todos ellos son seres vivos.|Felicidades. Hiciste un buen trabajo. Todos ellos son seres vivos.
loly_f063|Deshacerlo.|Deshacerlo.
loly_f064|Bravo lo hiciste muy bien este es un animal.|Bravo lo hiciste muy bien este es un animal.
loly_f065|Estupendo me ha gustado lo que acabas de hacer ese es otro animal.|Estupendo me ha gustado lo que acabas de hacer ese es otro animal.
loly_f066|Excelente. Lo has hecho muy bien. Todos ellos son animales.|Excelente. Lo has hecho muy bien. Todos ellos son animales.
loly_f067|Deshacerlo.|Deshacerlo.
loly_f068|Mimo. Inténtalo una vez más.|Mimo. Inténtalo una vez más.
loly_f069|Elige otra opción puedes.|Elige otra opción puedes.
loly_f070|Mimo. Inténtalo una vez más.|Mimo. Inténtalo una vez más.
loly_f071|Arrastre el animal hacia el cuadrado.|Arrastre el animal hacia el cuadrado.
loly_f072|Miren aquí hay un animal. Ese animal es una iguana. La iguana es un ser vivo. Los animales necesitan de alimento para vivir. Además necesitan aire. Y también agua para vivir. Igual que nosotros. Miren qué es lo que se mueve. Es otro ser vivo. Es un venado. Miren. Qué es un ave. Como yo y ambos somos seres vivos.|Miren aquí hay un animal. Ese animal es una iguana. La iguana es un ser vivo. Los animales necesitan de alimento para vivir. Además necesitan aire. Y también agua para vivir. Igual que nosotros. Miren qué es lo que se mueve. Es otro ser vivo. Es un venado. Miren. Qué es un ave. Como yo y ambos somos seres vivos.
loly_f073|Hola amigo hola amiga bienvenidos. Gracias por apoyar los proyectos en la espol.|Hola amigo hola amiga bienvenidos. Gracias por apoyar los proyectos en la espol.
loly_f074|Sí. Bravo. Lo hiciste muy bien.|Sí. Bravo. Lo hiciste muy bien.
loly_f075|Hacerlo. Ánimo. Inténtalo una vez más.|Hacerlo. Ánimo. Inténtalo una vez más.
loly_f076|Elige otra opción. Puedes.|Elige otra opción. Puedes.
loly_f077|Ordena según corresponda el ciclo de la vida.|Ordena según corresponda el ciclo de la vida.
loly_f078|Miren qué es lo que se mueve. Son unos patos. Y ellos también son seres vivos. Sabías que los seres vivos nacen. Crecen. Se reproducen. Y mueren. Esto se llama el ciclo de la vida.|Miren qué es lo que se mueve. Son unos patos. Y ellos también son seres vivos. Sabías que los seres vivos nacen. Crecen. Se reproducen. Y mueren. Esto se llama el ciclo de la vida.
loly_f079|Felicitaciones. Lo hiciste muy bien. Nos vemos en una próxima visita.|Felicitaciones. Lo hiciste muy bien. Nos vemos en una próxima visita.
loly_f080|Elige con qué historia quieres comenzar presionando uno de estos botones.|Elige con qué historia quieres comenzar presionando uno de estos botones.
loly_f081|Elige otra opción puedes.|Elige otra opción puedes.
loly_f082|Amiguito me llamo loli. Y yo voy a ser tu compañera en esta gran aventura mira la pantalla y presione el botón que se mueve enfrente tuyo para conocer lo que aprenderemos hoy con el guardabosques.|Amiguito me llamo loli. Y yo voy a ser tu compañera en esta gran aventura mira la pantalla y presione el botón que se mueve enfrente tuyo para conocer lo que aprenderemos hoy con el guardabosques.
loly_f083|Hoy iremos al bosque. Y yo seré tu guía. Sabes lo que hay en el bosque. Hay seres vivos como las plantas y los animales. También hay seres no vivos como las rocas y las montañas. Muy bien ahora vamos a encontrarlos.|Hoy iremos al bosque. Y yo seré tu guía. Sabes lo que hay en el bosque. Hay seres vivos como las plantas y los animales. También hay seres no vivos como las rocas y las montañas. Muy bien ahora vamos a encontrarlos.
loly_f084|Hola amiguitos me llamo loli. Y yo voy a ser tu compañera en esta gran aventura. Cuéntame necesitas presione el botón de ayuda y yo estaré contenta de guiarte en el transcurso de esta historia.|Hola amiguitos me llamo loli. Y yo voy a ser tu compañera en esta gran aventura. Cuéntame necesitas presione el botón de ayuda y yo estaré contenta de guiarte en el transcurso de esta historia.
loly_f085|Escoge un capítulo.|Escoge un capítulo.
loly_f086|Respondiste muy bien.|Respondiste muy bien.
loly_f087|Créditos.|Créditos.
loly_f088|Inténtalo otra vez.|Inténtalo otra vez.
loly_f089|Lo hiciste excelente.|Lo hiciste excelente.
loly_f090|Historia.|Historia.
loly_f091|Si tu salud y la de tu familia quieres cuidar. Seguir estos consejos te puede ayudar. Cuándo quieres saludar la mano no vayas a dar. En su lugar intenta los codos chocar. Cuando tengas que salir de tu hogar. Recuerda contigo una mascarilla llevar. Los lugares repletos hay que evitar. Los espacios abiertos es mejor visitar. Sí extrañas con tus amigos salir a jugar. Un divertido vasofono puedes utilizar.|Si tu salud y la de tu familia quieres cuidar. Seguir estos consejos te puede ayudar. Cuándo quieres saludar la mano no vayas a dar. En su lugar intenta los codos chocar. Cuando tengas que salir de tu hogar. Recuerda contigo una mascarilla llevar. Los lugares repletos hay que evitar. Los espacios abiertos es mejor visitar. Sí extrañas con tus amigos salir a jugar. Un divertido vasofono puedes utilizar.
loly_f092|Arrastre el animal hacia el cuadrado.|Arrastre el animal hacia el cuadrado.
loly_f093|Idecasa debe salir. Necesario tu salud cuidar. Cuándo gente vea cerca no olvides la distancia guardar. La medida de 2 metros entre tú y los demás puede evitar. Quiere ciertas enfermedades te vayas a contagiar. En la calle o en la fila mientras esperas trata de recordar que un espacio entre las personas para más seguro el lugar.|Idecasa debe salir. Necesario tu salud cuidar. Cuándo gente vea cerca no olvides la distancia guardar. La medida de 2 metros entre tú y los demás puede evitar. Quiere ciertas enfermedades te vayas a contagiar. En la calle o en la fila mientras esperas trata de recordar que un espacio entre las personas para más seguro el lugar.
loly_f094|Al tocar un objeto o después de saludar. Cosas que en tus manos se pueden quedar. Son pequeños seres que con tus ojos no ven. Y es por eso cuidadoso tienes que ser. Al terminar de jugar o al volver a tu hogar. No olvides que tus manos siempre debes lavar. Por 20 segundos con jabón y agua fruta muy bien entre tus dedos y sobre tus palmas. Siguiendo los pasos manos limpias tendrás. Para poder evitar cualquier enfermedad.|Al tocar un objeto o después de saludar. Cosas que en tus manos se pueden quedar. Son pequeños seres que con tus ojos no ven. Y es por eso cuidadoso tienes que ser. Al terminar de jugar o al volver a tu hogar. No olvides que tus manos siempre debes lavar. Por 20 segundos con jabón y agua fruta muy bien entre tus dedos y sobre tus palmas. Siguiendo los pasos manos limpias tendrás. Para poder evitar cualquier enfermedad.
loly_f095|Inténtalo otra vez.|Inténtalo otra vez.
loly_f096|Inténtalo otra vez.|Inténtalo otra vez.
loly_f097|Las precauciones de loli.|Las precauciones de loli.
loly_f098|Consejos.|Consejos.
loly_f099|Distanciamiento social.|Distanciamiento social.
loly_f100|Lavado de manos.|Lavado de manos.
loly_f101|Escoge tocando el cuadro con tu dedo.|Escoge tocando el cuadro con tu dedo.
loly_f102|Arrastra la ficha al cuadrado manteniendo distanciamiento social.|Arrastra la ficha al cuadrado manteniendo distanciamiento social.
loly_f103|Miren aquí hay un animal. Ese animal es una iguana. La iguana es un ser vivo. Los animales más así tan de alimento para vivir. Además necesitan aire. Y también agua para vivir. Igual que nosotros. Miren qué es lo que se mueve. Es otro ser vivo. Es un venado. Miren. Qué es un ave. Como yo y ambos somos seres vivos.|Miren aquí hay un animal. Ese animal es una iguana. La iguana es un ser vivo. Los animales más así tan de alimento para vivir. Además necesitan aire. Y también agua para vivir. Igual que nosotros. Miren qué es lo que se mueve. Es otro ser vivo. Es un venado. Miren. Qué es un ave. Como yo y ambos somos seres vivos.
loly_f104|Arrastra el jabón para eliminar el virus.|Arrastra el jabón para eliminar el virus.
loly_f105|Juegos.|Juegos.
loly_f106|Bien. Así.|Bien. Así.
loly_f107|También encontrarás algunos botones. El botón de pausa con el cual podrás tener de historia. Sí lo presionas nuevamente podrás continuar viendo la. Además si necesitas regresar presiona sobre el botón retroceder. Y si necesitas avanzar presiona sobre el botón continuar.|También encontrarás algunos botones. El botón de pausa con el cual podrás tener de historia. Sí lo presionas nuevamente podrás continuar viendo la. Además si necesitas regresar presiona sobre el botón retroceder. Y si necesitas avanzar presiona sobre el botón continuar.
loly_f108|Escoge con cuál de estos añitos te vas a ir entificar a lo largo de esta historia.|Escoge con cuál de estos añitos te vas a ir entificar a lo largo de esta historia.
loly_f109|Deseas que te la repita nuevamente. Precio nancy. Opresión en no.|Deseas que te la repita nuevamente. Precio nancy. Opresión en no.
loly_f110|Debes saludar a tus amigos.|Debes saludar a tus amigos.
loly_f111|Deberías ir por la calle.|Deberías ir por la calle.
loly_f112|Estancia es la correcta.|Estancia es la correcta.
loly_f113|Querías usar para jugar.|Querías usar para jugar.
loly_f114|Hola amigo hola amiga bienvenidos. Gracias por apoyar los proyectos en la espol.|Hola amigo hola amiga bienvenidos. Gracias por apoyar los proyectos en la espol.
loly_f115|Excelente. Has completado el rompecabezas de las montañas.|Excelente. Has completado el rompecabezas de las montañas.
loly_f116|Valoro tu esfuerzo. Inténtalo otra vez.|Valoro tu esfuerzo. Inténtalo otra vez.
loly_f117|Inténtalo una vez más.|Inténtalo una vez más.
loly_f118|Completa el rompecabezas de las montañas.|Completa el rompecabezas de las montañas.
loly_f119|Miren esa montañas tampoco se mueven. Exacto. Porque son seres no vivos o inertes.|Miren esa montañas tampoco se mueven. Exacto. Porque son seres no vivos o inertes.
loly_f120|Lo hiciste muy bien. Esta es una planta.|Lo hiciste muy bien. Esta es una planta.
loly_f121|Felicitaciones. Lo hiciste muy bien.|Felicitaciones. Lo hiciste muy bien.
loly_f122|Estupendo lo has hecho muy bien. Todas ellas son plantas.|Estupendo lo has hecho muy bien. Todas ellas son plantas.
loly_f123|Inténtalo otra vez.|Inténtalo otra vez.
loly_f124|Elige otra opción puedes.|Elige otra opción puedes.
